,juyou,-1,change_rate,mean,volume_sum,volume_mean,mean+1,mean_change,UpDown
2008,79518,83879.0,0.9480084407300993,154.10033333333334,1568242.2221881323,74678.20105657773,226.39313991769546,72.29280658436213,1.0
2009,64799,79518.0,0.8148972559672024,226.39313991769546,14515520.799684443,59734.653496643805,167.5475877551022,-58.845552162593265,0.0
2010,71884,64799.0,1.1093381070695536,167.5475877551022,15006522.755229343,61251.113286650354,184.03629795918377,16.48871020408157,1.0
2011,74403,71884.0,1.0350425685827167,184.03629795918377,19443708.31068846,79362.07473750396,211.71911336032395,27.682815401140175,1.0
2012,72189,74403.0,0.9702431353574452,211.71911336032395,16879410.71074417,68337.6951851991,522.5276979591836,310.8085845988596,1.0
2013,75457,72189.0,1.0452700549945282,522.5276979591836,56308458.93210932,229830.4446208543,809.6579549180324,287.1302569588488,1.0
2014,75799,75457.0,1.0045323826815273,809.6579549180324,60516156.62090662,248017.03533158445,981.9435081967213,172.2855532786889,1.0
2015,75160,75799.0,0.9915698096280954,981.9435081967213,46191763.7767736,189310.50728185888,748.829569672131,-233.11393852459025,0.0
2016,78077,75160.0,1.0388105375199574,748.829569672131,34007036.39926067,139373.09999696992,1200.2647651821858,451.43519551005477,1.0
2017,81854,78077.0,1.0483753217977125,1200.2647651821858,47440472.62119085,192066.6907740521,1219.7336693877553,19.468904205569515,1.0
2018,82478,81854.0,1.0076233293424879,1219.7336693877553,37450176.265852496,152857.86230960215,946.1880124481335,-273.54565693962184,0.0
2019,81905,82478.0,0.9930526928393026,946.1880124481335,25914380.088325553,107528.54808433837,981.5917148760325,35.40370242789902,1.0
2020,74439,81905.0,0.90884561382089,981.5917148760325,30196902.39934354,124780.58842703946,1185.0253061224494,203.43359124641688,1.0
2005,87423,91437.0,0.9561009219462581,905.8062176165802,78461581.58642012,406536.692157617,1008.1387217741943,102.33250415761415,1.0
2006,88306,87423.0,1.0101003168502567,1008.1387217741943,191686328.55267286,772928.7441640034,941.9969387755104,-66.14178299868388,0.0
2007,83879,88306.0,0.9498675061717211,941.9969387755104,217417697.46740595,887419.1733363505,619.9992285714286,-321.99771020408184,0.0
2008,79518,83879.0,0.9480084407300993,619.9992285714286,206960898.1540121,844738.3598122946,587.9032181069963,-32.09601046443231,0.0
2009,64799,79518.0,0.8148972559672024,587.9032181069963,123479241.28166422,508145.0258504702,584.9955755102038,-2.9076425967924706,0.0
2010,71884,64799.0,1.1093381070695536,584.9955755102038,102884826.52843085,419938.06746298313,592.5073428571425,7.5117673469386546,1.0
