西暦（年）,all_people,Volume_sum,Volume_mean,train_year_stooq,train_year+1_stooq,change,UpDown
2005.0,127767994.0,1288293322.336367,5258340.091168847,1309.397102040816,2272.1522580645183,962.7551560237023,1
2005.0,127767994.0,1288293322.336367,5258340.091168847,1309.397102040816,2272.1522580645183,962.7551560237023,1
2005.0,127767994.0,1453167867.091411,5931297.416699639,1280.2025306122464,2309.5489919354845,1029.3464613232381,1
2005.0,127767994.0,542661645.3056195,2214945.4910433446,1079.4953183673472,1546.7964112903253,467.3010929229781,1
2010.0,128057352.0,718700836.1674237,2933472.8006833605,744.0626448979594,791.4825673469383,47.41992244897881,1
2015.0,127094745.0,666610988.4687814,2732012.247822875,2289.427336065576,2444.887581967215,155.4602459016387,1
2005.0,127767994.0,676005830.5628533,2759207.4716851166,939.0170408163268,1303.5684677419354,364.55142692560855,1
2005.0,127767994.0,933533072.1273252,3810339.0699074473,1391.849632653062,2901.39826612903,1509.5486334759682,1
2005.0,127767994.0,88814632.82178822,460179.4446724778,3730.349326424872,4619.210766129033,888.8614397041611,1
2010.0,128057352.0,119068386.26828527,485993.4133399399,3847.497183673469,5301.437795918367,1453.9406122448977,1
2015.0,127094745.0,114839273.83559966,470652.76162131,10437.98668032787,12951.307786885243,2513.321106557374,1
2005.0,127767994.0,622511555.7745323,3225448.475515709,644.2565906735747,825.5884395161289,181.33184884255422,1
2010.0,128057352.0,512180402.23235786,2090532.254009624,489.71093061224514,545.2374693877547,55.52653877550955,1
2005.0,127767994.0,38251105.644495934,198192.2572253676,1484.7843523316064,2555.23560483871,1070.4512525071036,1
2010.0,128057352.0,14548609.086049717,59382.0779022437,561.7570775510202,566.6846775510197,4.927599999999529,1
2015.0,127094745.0,309006163.04386306,1266418.7009994388,1657.8899590163917,1814.668852459015,156.77889344262326,1
2015.0,127094745.0,253322883.7803112,1038208.5400832428,813.2137131147538,1076.7188770491805,263.5051639344267,1
2010.0,128057352.0,232796038.6171875,950187.9127232142,1030.1810204081632,1032.3080163265308,2.1269959183675837,1
2005.0,127767994.0,78461581.58642012,406536.692157617,905.8062176165802,1008.1387217741944,102.33250415761427,1
2010.0,128057352.0,102884826.52843083,419938.06746298313,584.9955755102038,592.5073428571425,7.5117673469386546,1
2015.0,127094745.0,180489769.7486161,739712.1711008861,1201.7404180327874,1211.278155737706,9.537737704918527,1
2005.0,127767994.0,89127789.80698761,461802.01972532464,1838.906165803109,2409.869475806452,570.9633100033432,1
2010.0,128057352.0,129589465.08349536,528936.5921775318,1611.8766530612222,1615.439224489796,3.562571428573847,1
2005.0,127767994.0,205949743.57369092,1067097.1169621297,1416.804922279793,2071.2748790322566,654.4699567524638,1
2005.0,127767994.0,161094869.0,834688.4404145078,1065.6523316062176,1557.930120967742,492.27778936152436,1
2015.0,127094745.0,226693244.0,929070.6721311476,1990.5511885245887,2747.630696721312,757.079508196723,1
2005.0,127767994.0,2014229.5227382665,24867.03114491688,29.88597283950617,30.38832293577981,0.5023500962736414,1
2005.0,127767994.0,50366931.96742107,205579.314152739,2261.382775510204,3262.6330645161293,1001.2502890059254,1
2010.0,128057352.0,2790054.7521961,11722.919126874382,293.9464789915968,304.4476694560673,10.501190464470483,1
2015.0,127094745.0,30730119.99043073,125943.1147148801,1732.8127049180328,1888.458483606556,155.64577868852325,1
2015.0,127094745.0,51576994.80246379,211381.12623960568,889.2937090163931,931.533409836066,42.23970081967286,1
2005.0,127767994.0,205775286.0,1066193.1917098446,2061.5055440414512,3573.80120967742,1512.2956656359688,1
2015.0,127094745.0,909099716.0,3725818.508196721,579.0415163934424,585.4488114754101,6.407295081967732,1
2005.0,127767994.0,51571099.0,267207.7668393782,222.27699481865284,282.6337096774193,60.35671485876645,1
2015.0,127094745.0,111743236.0,457964.08196721313,626.9124180327871,692.5258606557378,65.61344262295074,1
2010.0,128057352.0,4125328.252776409,16838.07450112821,228.50613877551024,242.00057142857148,13.494432653061239,1
2015.0,127094745.0,62707615.001844026,256998.42213870515,822.755032786885,839.7719221311476,17.01688934426261,1
2005.0,127767994.0,347114546.0526717,1807888.260690999,148.48948186528497,179.598241935484,31.108760070199025,1
2015.0,127094745.0,249459233.0,1022373.905737705,204.5510245901644,251.12311475409848,46.57209016393409,1
2005.0,127767994.0,53001117.13712253,292823.8515863124,175.24396132596678,176.99559919028334,1.7516378643165638,1
2010.0,128057352.0,1228012.0387059806,7017.2116497484585,259.05415999999985,348.1179689119168,89.06380891191696,1
2015.0,127094745.0,7470746.099231929,1494149.2198463858,507.6098,894.6929713114756,387.0831713114756,1
2005.0,127767994.0,26370108.871697664,136632.68845439196,1194.4961243523312,2076.105,881.6088756476688,1
2015.0,127094745.0,127352649.58650348,521937.0884692766,790.3448483606555,823.8597622950816,33.51491393442609,1
2005.0,127767994.0,38845447.66718672,201271.7495709157,2882.3863212435226,4709.907822580648,1827.5215013371253,1
2005.0,127767994.0,89099705.6420923,461656.5059175768,467.27065803108815,591.6426290322577,124.37197100116953,1
2015.0,127094745.0,26654826.22222639,109241.09107469831,804.1028729508188,831.8535204918034,27.750647540984573,1
2005.0,127767994.0,11157205.926218305,57809.357130664765,646.9754196891193,738.4520887096779,91.47666902055857,1
2005.0,127767994.0,438947.0,2537.265895953757,4537.656127167631,4873.660903954804,336.0047767871729,1
2010.0,128057352.0,625152.0,3256.0,3548.058125000003,3588.309891304349,40.25176630434589,1
2015.0,127094745.0,714706.0,3403.361904761905,4969.955047619047,4980.549154228857,10.594106609810297,1
